Participant,Posture,Direction,Range
8,Lying,UpRight,26.275903333333332
9,Lying,UpRight,85.29892333333333
10,Lying,UpRight,18.858456666666665
11,Lying,UpRight,45.189726666666665
12,Lying,UpRight,58.22647666666666
13,Lying,UpRight,20.740376666666666
14,Lying,UpRight,34.594966666666664
15,Lying,UpRight,65.34793333333333
16,Lying,UpRight,27.818673333333333
1,Lying,Up,38.73844
2,Lying,Up,32.26526333333333
3,Lying,Up,70.45189333333333
4,Lying,Up,37.22509
5,Lying,Up,47.074553333333334
6,Lying,Up,70.91894333333333
7,Lying,Up,32.070613333333334
8,Lying,Up,20.204890000000002
9,Lying,Up,55.41298333333333
10,Lying,Up,19.434146666666667
11,Lying,Up,35.67894666666667
12,Lying,Up,53.96795
13,Lying,Up,19.904993333333334
14,Lying,Up,37.830443333333335
15,Lying,Up,51.382596666666664
16,Lying,Up,18.466493333333332
1,Lying,UpLeft,36.64443666666667
2,Lying,UpLeft,50.338406666666664
3,Lying,UpLeft,85.87382666666667
4,Lying,UpLeft,43.95137333333333
5,Lying,UpLeft,44.91457
6,Lying,UpLeft,48.540796666666665
7,Lying,UpLeft,41.76404333333333
8,Lying,UpLeft,32.19559666666667
9,Lying,UpLeft,40.586055
10,Lying,UpLeft,21.824713333333335
11,Lying,UpLeft,41.40579333333333
12,Lying,UpLeft,66.97266333333333
13,Lying,UpLeft,35.31062666666667
14,Lying,UpLeft,43.39413
15,Lying,UpLeft,67.03820999999999
16,Lying,UpLeft,31.286199999999997
1,Lying,Left,51.193090000000005
2,Lying,Left,54.66156
3,Lying,Left,90.30219333333334
4,Lying,Left,56.512545
5,Lying,Left,70.38713666666668
6,Lying,Left,86.38711
7,Lying,Left,56.09692666666666
8,Lying,Left,30.147546666666667
9,Lying,Left,100.06509999999999
10,Lying,Left,29.676686666666665
11,Lying,Left,78.10495666666667
12,Lying,Left,66.07253666666666
13,Lying,Left,52.097986666666664
14,Lying,Left,56.15680666666666
15,Lying,Left,65.46311333333334
16,Lying,Left,36.79304333333334
1,Lying,DownLeft,65.28024666666667
2,Lying,DownLeft,33.29896
3,Lying,DownLeft,69.39415666666667
4,Lying,DownLeft,49.55395
5,Lying,DownLeft,77.19929666666667
6,Lying,DownLeft,96.76706999999999
7,Lying,DownLeft,38.31946
8,Lying,DownLeft,59.81527666666667
9,Lying,DownLeft,92.40952333333333
10,Lying,DownLeft,31.496853333333334
11,Lying,DownLeft,82.22324333333334
12,Lying,DownLeft,65.30123
13,Lying,DownLeft,23.62687
14,Lying,DownLeft,62.90018
15,Lying,DownLeft,92.09337666666666
16,Lying,DownLeft,36.804473333333334
1,Lying,Down,47.66826666666666
2,Lying,Down,15.185236666666668
3,Lying,Down,63.42999
4,Lying,Down,39.86992333333333
5,Lying,Down,62.67656333333333
6,Lying,Down,148.86396666666667
7,Lying,Down,23.491576666666663
8,Lying,Down,48.05739666666667
9,Lying,Down,165.42510000000001
10,Lying,Down,36.00569333333333
11,Lying,Down,40.49900333333333
12,Lying,Down,21.815526666666667
13,Lying,Down,15.80327
14,Lying,Down,34.15875666666667
15,Lying,Down,80.65406
16,Lying,Down,34.38104
1,Lying,DownRight,34.00432
2,Lying,DownRight,19.84636
3,Lying,DownRight,78.10104333333334
4,Lying,DownRight,60.47009333333333
5,Lying,DownRight,69.08846666666666
6,Lying,DownRight,80.822575
7,Lying,DownRight,32.969793333333335
8,Lying,DownRight,79.28871333333335
9,Lying,DownRight,143.2858
10,Lying,DownRight,51.081466666666664
11,Lying,DownRight,64.49758
12,Lying,DownRight,67.34061333333334
13,Lying,DownRight,24.39616
14,Lying,DownRight,61.433506666666666
15,Lying,DownRight,94.08652000000001
16,Lying,DownRight,40.85621
