Participant,Posture,Direction,Range
16,Standing,UpRight,76.24259
16,Standing,Right,89.17561
16,Standing,Right,97.61957
16,Standing,Right,96.08014
16,Standing,Up,79.83575
16,Standing,Up,83.2815
16,Standing,Up,75.227
16,Standing,DownLeft,86.74017
16,Standing,DownLeft,88.4088
16,Standing,DownLeft,89.48734
16,Standing,Left,92.41221
16,Standing,Left,91.13511
16,Standing,Left,91.71871
1,Lying,DownLeft,67.1049
1,Lying,DownLeft,61.94612
1,Lying,DownLeft,66.78972
1,Lying,Left,52.11119
1,Lying,Left,54.25222
1,Lying,Left,47.21586
1,Lying,DownRight,40.45267
1,Lying,DownRight,35.53097
1,Lying,DownRight,26.02932
1,Lying,UpLeft,42.76872
1,Lying,UpLeft,34.14167
1,Lying,UpLeft,33.02292
1,Lying,Down,56.84796
1,Lying,Down,49.35654
1,Lying,Down,36.8003
1,Lying,UpRight,42.84734
1,Lying,UpRight,37.36774
1,Lying,UpRight,41.04485
1,Lying,Right,49.70567
1,Lying,Right,49.07117
1,Lying,Right,48.71159
1,Lying,Up,40.96485
1,Lying,Up,32.76833
1,Lying,Up,42.48214
2,Lying,Right,65.51585
2,Lying,Right,58.9613
2,Lying,Right,51.65455
2,Lying,Up,30.8431
2,Lying,Up,32.8627
2,Lying,Up,33.08999
2,Lying,DownLeft,50.37295
2,Lying,DownLeft,25.48071
2,Lying,DownLeft,24.04322
2,Lying,Left,50.95223
2,Lying,Left,55.92642
2,Lying,Left,57.10603
2,Lying,DownRight,21.30793
2,Lying,DownRight,18.94035
2,Lying,DownRight,19.2908
2,Lying,UpLeft,52.37044
2,Lying,UpLeft,50.07355
2,Lying,UpLeft,48.57123
2,Lying,Down,17.75223
2,Lying,Down,12.21537
2,Lying,Down,15.58811
2,Lying,UpRight,54.58928
2,Lying,UpRight,51.04552
2,Lying,UpRight,40.53587
3,Lying,Right,86.10933
3,Lying,Right,80.03184
3,Lying,Right,82.5534
3,Lying,Up,72.94717
3,Lying,Up,69.00081
3,Lying,Up,69.4077
3,Lying,DownLeft,68.21857
3,Lying,DownLeft,70.24925
3,Lying,DownLeft,69.71465
3,Lying,Left,86.42919
3,Lying,Left,90.5149
3,Lying,Left,93.96249
3,Lying,DownRight,80.26057
3,Lying,DownRight,77.58105
3,Lying,DownRight,76.46151
3,Lying,UpLeft,88.27863
3,Lying,UpLeft,83.63956
3,Lying,UpLeft,85.70329
3,Lying,Down,63.96622
3,Lying,Down,65.05487
3,Lying,Down,61.26888
3,Lying,UpRight,73.36516
3,Lying,UpRight,75.92458
3,Lying,UpRight,74.85197
4,Lying,Up,32.84927
4,Lying,Up,40.15926
4,Lying,Up,38.66674
4,Lying,DownLeft,1.24694
4,Lying,DownLeft,47.1864
4,Lying,DownLeft,51.9215
4,Lying,Left,2.139546
4,Lying,Left,53.70313
4,Lying,Left,59.32196
4,Lying,DownRight,58.96113
4,Lying,DownRight,55.20745
